Ticker,Company,MarketCap_mm,EV_mm,EV_Revenue,EV_EBITDA,EV_EBIT,PE,EBITDA_Margin
MCD,McDonald's Corporation,212400.0,247400.0,9.55,18.33,20.79,25.65,0.52
YUM,Yum! Brands Inc.,37125.0,48525.0,6.47,20.22,23.11,28.72,0.32
QSR,Restaurant Brands International,21420.0,34820.0,4.15,13.39,15.83,17.44,0.31
WEN,The Wendy's Company,3315.0,5565.0,2.65,11.59,15.9,22.97,0.23
SHAK,Shake Shack Inc.,3990.0,3990.0,3.32,33.25,66.5,172.73,0.1
DPZ,Domino's Pizza Inc.,15870.0,21010.0,4.47,24.15,28.01,33.09,0.19
CMG,Chipotle Mexican Grill,66700.0,64900.0,5.74,27.04,32.45,44.62,0.21
