Year,Revenue_mm,EBITDA_mm,EBIT_mm,InterestExpense_mm,NetIncome_mm,FCF_PreDebtService_mm,MandatoryAmort_mm,CashSweep_mm,TermLoan_EOY_mm,SubNotes_EOY_mm,TotalDebt_EOY_mm
1,324.0,66.42,58.32,29.1,21.62,18.08,12.0,4.56,223.44,90.0,313.44
2,349.92,73.48,64.74,27.78,27.35,23.53,12.0,8.65,202.79,90.0,292.79
3,374.41,80.5,71.14,26.12,33.31,29.48,12.0,13.11,177.68,90.0,267.68
4,400.62,88.14,78.12,24.11,39.97,35.87,12.0,17.9,147.78,90.0,237.78
5,424.66,95.55,84.93,21.72,46.78,42.73,12.0,23.05,112.74,90.0,202.74
