ConfidenceLevel,Method,VaR_pct,CVaR_pct,VaR_dollar,CVaR_dollar,Exceedances,ExpectedExceedances,ExceedanceRate
0.95,Historical,0.009234,0.013177,92338.116454,131771.765658,38,37.8,0.050265
0.95,Parametric (Normal),0.008982,0.011222,89822.122159,112219.028128,41,37.8,0.054233
0.95,Monte Carlo (Student-t),0.008219,0.012271,82189.582814,122711.897587,46,37.8,0.060847
0.99,Historical,0.015929,0.0202,159292.431497,201998.55764,8,7.56,0.010582
0.99,Parametric (Normal),0.012635,0.014451,126349.649328,144512.60481,14,7.56,0.018519
0.99,Monte Carlo (Student-t),0.014384,0.020323,143835.591123,203228.27424,11,7.56,0.01455
