Ticker,Company,Price,SharesOut_mm,TotalDebt_mm,Cash_mm,Revenue_LTM_mm,EBITDA_LTM_mm,EBIT_LTM_mm,NetIncome_LTM_mm,DilutedEPS,RevenueGrowth_NTM,MarketCap_mm,EV_mm,EV_Revenue,EV_EBITDA
NKE,Nike Inc.,75.0,1500,8900,10000,51200,6800,5600,4000,2.65,0.04,112500.0,111400.0,2.18,16.38
LULU,Lululemon Athletica,320.0,120,200,1300,9600,2300,2000,1500,12.2,0.11,38400.0,37300.0,3.89,16.22
DECK,Deckers Brands,165.0,150,0,1900,4500,1150,1050,820,5.4,0.14,24750.0,22850.0,5.08,19.87
CROX,Crocs Inc.,105.0,55,1500,200,4100,1100,1000,720,12.5,0.05,5775.0,7075.0,1.73,6.43
UAA,Under Armour Inc.,7.5,355,600,850,5200,350,200,50,0.11,0.0,2662.5,2412.5,0.46,6.89
ONON,On Holding AG,45.0,285,100,600,2300,350,280,200,0.63,0.28,12825.0,12325.0,5.36,35.21
SKX,Skechers USA,62.0,150,300,1000,8400,1000,820,650,4.2,0.08,9300.0,8600.0,1.02,8.6
