Year,Revenue_mm,EBITDA_mm,EBIT_mm,InterestExpense_mm,NetIncome_mm,FCF_PreDebtService_mm,RevolverDraw_mm,RevolverPaydown_mm,MandatoryAmort_mm,TermLoanSweep_mm,Revolver_EOY_mm,TermLoan_EOY_mm,SubNotes_EOY_mm,TotalDebt_EOY_mm
1,363.8,60.03,52.75,27.19,19.17,16.16,0.0,0.0,11.0,5.16,0.0,203.84,82.5,286.34
2,389.27,65.4,57.61,25.89,23.79,20.57,0.0,0.0,11.0,9.57,0.0,183.27,82.5,265.77
3,416.51,70.81,62.48,24.25,28.67,25.23,0.0,0.0,11.0,14.23,0.0,158.04,82.5,240.54
4,441.51,75.94,67.11,22.23,33.66,30.2,0.0,0.0,11.0,19.2,0.0,127.84,82.5,210.34
5,468.0,80.96,71.6,19.81,38.84,35.18,0.0,0.0,11.0,24.18,0.0,92.66,82.5,175.16
6,496.08,86.32,76.4,17.0,44.55,40.66,0.0,0.0,11.0,29.66,0.0,52.0,82.5,134.5
7,520.88,91.15,80.74,13.75,50.24,46.4,0.0,0.0,11.0,35.4,0.0,5.6,82.5,88.1
